SimTime,tb_top.ch_out,tb_top.adc_out[5:0]
0.795,0.21785256623065122,27
0.796,0.22127607379831515,27
0.797,0.22461763196474405,27
0.798,0.22787865079692246,27
0.799,0.23106057637990679,27
0.8,0.23416489633085716,27
0.801,0.2371931432125173,27
0.802,0.24204186572058844,27
0.803,0.24587750652763679,27
0.804,0.24899253999192794,27
0.805,0.25162486487317715,27
0.806,0.25396207400137871,27
0.807,0.2561460156022245,27
0.808,0.25827753442411472,27
0.809,0.26042129078793363,27
0.81,0.26261056627564922,27
0.811,0.26485197572766089,27
0.812,0.26713001629622762,27
0.813,0.26941139529338531,27
0.814,0.27164908929291931,27
0.815,0.2737860972400038,27
0.816,0.27575886005794442,27
0.817,0.27750032831325966,27
0.818,0.27894266782649896,27
0.819,0.28001960063789444,27
0.82,0.28066838541647815,27
0.821,0.28083144722027403,27
0.822,0.28045767147255751,27
0.823,0.27950338112923839,27
0.824,0.27793301930272302,27
0.825,0.27571956211689758,27
0.826,0.27284468834411907,27
0.827,0.26929873347354216,27
0.828,0.26508045634142108,27
0.829,0.26019664638262491,27
0.83,0.25466159900503826,27
0.831,0.24849648561207524,27
0.832,0.24172864346993833,27
0.833,0.23439080900057516,27
0.834,0.22652031624097355,27
0.835,0.21815828020353223,27
0.836,0.20934878275574428,27
0.837,0.20013807646078371,27
0.838,0.19057381962934639,27
0.839,0.18070435366770152,27
0.84,0.17057803170255142,27
0.841,0.1602426054499512,27
0.842,0.14974467539801431,27
0.843,0.13912920761127262,27
0.844,0.12843911885347092,27
0.845,0.11771493027590443,27
0.846,0.10699448863670849,27
0.847,0.096312752905572729,27
0.848,0.085701643167644295,27
0.849,0.075189947966410223,27
0.85,0.064803285612088965,36
0.851,0.054564114521362374,36
0.852,0.044491787336257714,36
0.853,0.034602643383406177,36
0.854,0.024910133967523097,36
0.855,0.01542497503188188,36
0.856,0.0061553218505312896,36
0.857,-0.0028930393712942731,36
0.858,-0.011716487833871268,36
0.859,-0.020313356930077249,36
0.86,-0.028683719622615941,36
0.861,-0.036829174147563239,36
0.862,-0.044752633357544168,36
0.863,-0.052458120585428411,36
0.864,-0.059950574476246854,36
0.865,-0.06723566480885064,36
0.866,-0.074319620916378393,36
0.867,-0.081209073921556671,36
0.868,-0.087910913633905907,36
0.869,-0.094432160614756608,36
0.87,-0.10077985360536795,36
0.871,-0.10696095223528641,36
0.872,-0.11298225468349099,36
0.873,-0.1188503297542258,36
0.874,-0.12457146265245676,36
0.875,-0.13015161359978167,36
0.876,-0.13559638831905896,36
0.877,-0.14091101933329128,36
0.878,-0.14610035696936374,36
0.879,-0.15116886892780809,36
0.88,-0.15612064727337116,36
0.881,-0.1609594217152259,36
0.882,-0.16568857807753198,36
0.883,-0.17031118090808822,36
0.884,-0.17482999923241652,36
0.885,-0.17924753453026376,36
0.886,-0.18356605008880381,36
0.887,-0.18778760096951738,36
0.888,-0.19191406391174415,36
0.889,-0.19594716658334166,36
0.89,-0.1998885156760572,36
0.891,-0.20373962342862637,36
0.892,-0.20750193224297386,36
0.893,-0.21117683713712523,36
0.894,-0.21476570585166488,36
0.895,-0.21826989649410478,36
